,optic name,screen,optics x (mm),optics y (mm),theoretical sigma_x,theoretical sigma_y,BTV total intensity,BTV BQM.BunchLengthMean,BTV BTV660524fit.sx,BTV BTV660524fit.sy,% difference sigma_x,% difference sigma_y
28,tt66_2023_fp2_sti_0p15_0p5mm,Glassy C,0.15,0.5,0.195575,0.490971,1.14075E+11,1,0.1997750884006823,0.4244726584570748,2.1247438783550114,14.528112337356538
29,tt66_2023_fp2_sti_0p15_0p5mm,Glassy C,0.15,0.5,0.195575,0.490971,1.11215E+11,1,0.2016671105423126,0.4235109624080386,3.0672027867315887,14.753716391370652
30,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.13726E+11,1,0.1532695150693526,0.4093402183604996,19.136884440078713,20.652269961608194
31,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.12086E+11,1,0.1535216989789307,0.4043975534821249,18.973975803093946,21.853368584185343
32,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.05815E+11,1,0.1537421183951284,0.4055639048622821,18.831785000803414,21.56876062586959
33,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.18067E+11,1,0.1534486991514094,0.4094515845503986,19.02110814939481,20.625357076130015
34,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.16557E+11,1,0.1536180802903867,0.414070726,18.911778262207196,19.51484408451506
35,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.17109E+11,1,0.1556845061472911,0.4274176251763294,17.586704480177836,16.367963150350676
36,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.15541E+11,1,0.1561246356277749,0.4253152565510671,17.30654561336094,16.85765136257937
37,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.20985E+11,1,0.1555853867458362,0.4263498396227705,17.649897373804734,16.616397362408684
38,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.17762E+11,1,0.1538702905251903,0.4010820032587595,18.749187063352323,22.666422688733416
39,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.18953E+11,1,0.1529223778140256,0.4027154656651193,19.361529008811097,22.26511428411021
40,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.18996E+11,1,0.1528030205595481,0.4020467735858095,19.43887567594137,22.429223285926877
41,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.19127E+11,1,0.1529237633036825,0.403424555,19.36063149489612,22.091355524896326
42,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.17399E+11,1,0.1541151823476025,0.4023497682981817,18.591544735155757,22.354832945737403
43,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.17835E+11,1,0.1530713231686392,0.4033235081214813,19.26508491004616,22.116099854938287
44,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.17748E+11,1,0.1537325672296096,0.4035788821135894,18.83794255,22.053574300808247
45,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.19693E+11,1,0.1535369011936712,0.4018111683660612,18.964163043515057,22.487102772538435
46,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.12478E+11,1,0.1552784050943349,0.4026631869946821,17.84584450757667,22.277935678764607
47,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.18024E+11,1,0.1532154583508232,0.4017759488641694,19.171836168549035,22.49575748932819
48,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.18125E+11,1,0.1533022404820013,0.4027572628559605,19.115730419551962,22.25486455
49,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.15222E+11,1,0.1547016899421743,0.4023558912310414,18.214918829994982,22.353330174807493
50,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.17675E+11,1,0.1533366081684616,0.4043751564835701,19.093519213754945,21.85884095685902
51,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.15396E+11,1,0.1535509199220873,0.4022285578046005,18.95511498273742,22.384586205365768
52,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.15425E+11,1,0.1543429748861546,0.4030396319798845,18.445113428428456,22.18564519
53,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.17849E+11,1,0.1527810146523278,0.4017633080421317,19.45314204322386,22.498863964778884
54,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.13233E+11,1,0.1547611691724681,0.4036058738872348,18.176796705954565,22.046967714473684
55,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.15948E+11,1,0.1538324951463835,0.4035214813057367,18.77353704783683,22.067625199339965
56,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.17138E+11,1,0.1531772907310548,0.4016568223993952,19.196521117336793,22.52503619978681
57,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.16412E+11,1,0.1539527549929591,0.4035093317470624,18.69607746,22.070599465927387
58,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.16906E+11,1,0.1537076785009882,0.4042200767171093,18.853989727356208,21.89673979324783
59,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.1287E+11,1,0.1557280449093015,0.4031907734217115,17.558958239354105,22.148612416853467
60,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.18256E+11,1,0.1536425363405162,0.4036842188758894,18.896001712722267,22.02779398969589
61,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.1949E+11,1,0.153826681,0.4034451541806347,18.77728334648238,22.086311744774306
62,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.16775E+11,1,0.1533644805577281,0.4023762190099935,19.075509106052653,22.34834120887918
63,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.1679E+11,1,0.1546167699424599,0.4041727613121165,18.26936984351335,21.908305445142087
64,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.16906E+11,1,0.1542059600018134,0.4048047841701104,18.53316684101787,21.75391489504057
65,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.13639E+11,1,0.1547543955897895,0.405450891,18.181137437715567,21.59630583243567
66,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.14147E+11,1,0.154882399,0.4048666155016735,18.099137829460343,21.738822272593865
67,tt66_2023_fp2_sti_0p1_0p5mm,Glassy C,0.1,0.5,0.185704,0.503613,1.21348E+11,1,0.1552605414551352,0.4045275734716042,17.857257775216844,21.82160547009059
68,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.18328E+11,1,0.2785374482284335,0.3913871529599654,21.762112396300285,64.22843750968526
69,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.17661E+11,1,0.2808477052065471,0.4164680653162269,20.94552636634026,69.74234633615855
70,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.18735E+11,1,0.2821087902310953,0.4201672259243623,20.502314045090763,70.51791509301384
71,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.15599E+11,1,0.2796641829973065,0.4136535228992906,21.363102771157056,69.14599492401379
72,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.18851E+11,1,0.2799962023182296,0.4135387414170501,21.245798799683474,69.12155886612969
73,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.16528E+11,1,0.2815186784687987,0.4166489422720446,20.709489127835734,69.78048511184545
74,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.14554E+11,1,0.2775395857288508,0.3999737470960726,22.116687576767948,66.16795653
75,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.17588E+11,1,0.2778498950109909,0.4011791068379017,22.00630250322181,66.43579383639032
76,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.19214E+11,1,0.2774479233587852,0.401139148,22.149315267889175,66.42693187465379
77,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.1782E+11,1,0.2775152207495387,0.4016763909910244,22.12535948096982,66.54598088433168
78,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.16296E+11,1,0.2786273964464262,0.4017338609496912,21.730206285623098,66.55870322379131
79,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.14394E+11,1,0.2790452543941036,0.4014025353107824,21.582105519380445,66.48532309152857
80,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.16804E+11,1,0.2788476475533018,0.4020478325080957,21.652118350368646,66.62816547758959
81,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.15164E+11,1,0.2811092374900147,0.4043996060414359,20.85346364132929,67.14617514974611
82,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.18328E+11,1,0.276561445,0.4002043078424275,22.465357275367513,66.21927140248329
83,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.17777E+11,1,0.2778890786771976,0.4028664240394154,21.99237165643991,66.80892894640674
84,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.16122E+11,1,0.281059248,0.4028514239862343,20.871054691931203,66.80562100361144
85,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.15614E+11,1,0.277346095,0.4000114280240508,22.18557272021915,66.17634569977909
86,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.19301E+11,1,0.2772786791012672,0.4018340838865885,22.209583825757633,66.58088414710208
87,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.14089E+11,1,0.2778059398940153,0.4005318138941007,22.021931809928294,66.29209533921305
88,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.1859E+11,1,0.2779779292107527,0.4021012340561213,21.96078937898651,66.63997270235129
89,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.18053E+11,1,0.2807102218777655,0.4036278836841231,20.99395305063817,66.97663707
90,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.19228E+11,1,0.2785506665118626,0.4019730620253345,21.75742307847477,66.61163001
91,tt66_2023_fp2_sti2_0p15_0p3mm,Glassy C,0.15,0.3,0.346554,0.201111,1.19054E+11,1,0.2776001540751386,0.4012448813761956,22.095133221386966,66.45037844370408
92,tt66_2023_fp2_sti2_0p15_0p3mm,Screen Out,0.15,0.3,0.346554,0.201111,1.17428E+11,1,0.3335787387918024,0.4611346760723631,3.815508494,78.52785921216056
93,tt66_2023_fp2_sti2_0p15_0p3mm,Screen Out,0.15,0.3,0.346554,0.201111,1.18488E+11,1,0.3345113095104096,0.4620602837705166,3.5364275118482826,78.69740145769501
94,tt66_2023_fp2_sti2_0p15_0p3mm,Screen Out,0.15,0.3,0.346554,0.201111,1.17544E+11,1,0.3367760080179351,0.4657840687252801,2.8618652385622205,79.37472659115106
